factor,model_a,model_b,model_id_a,model_id_b,A_S_a,A_S_b,delta_A_S,delta_A_S_pp,delta_RA,delta_RA_pp,delta_II,delta_II_pp,delta_PFC,delta_PFC_pp,delta_PSC,delta_PSC_pp
count,Gemma,InternVL,gemma3_4b_it,internvl3_8b_hf,0.385,0.69,0.30499999999999994,30.499999999999993,0.14413793103448275,14.413793103448274,0.12413793103448278,12.413793103448278,0.05499999999999999,5.499999999999999,0.365,36.5
count,Molmo,Skywork,molmo_7b_d_0924,skywork_vl_reward_7b,0.625,0.76,0.135,13.5,0.4418661937136664,44.18661937136664,0.01936151344960091,1.936151344960091,0.53,53.0,0.49,49.0
count,Molmo,Idefics3,molmo_7b_d_0924,idefics3_8b_llama3,0.625,0.815,0.18999999999999995,18.999999999999993,0.5280112044817927,52.801120448179276,0.012916277622159966,1.2916277622159966,0.5800000000000001,58.00000000000001,0.41000000000000003,41.0
count,Molmo,Phi,molmo_7b_d_0924,phi35_vision_instruct,0.625,0.635,0.010000000000000009,1.0000000000000009,0.013725490196078438,1.3725490196078438,0.019073083778966105,1.9073083778966105,0.07,7.000000000000001,0.29000000000000004,29.000000000000004
count,Molmo,LLaVA,molmo_7b_d_0924,llava_onevision_qwen2_7b,0.625,0.785,0.16000000000000003,16.000000000000004,0.23449051751848282,23.44905175184828,0.018482802957248468,1.8482802957248468,0.29000000000000004,29.000000000000004,0.41000000000000003,41.0
count,Molmo,InternVL,molmo_7b_d_0924,internvl3_8b_hf,0.625,0.69,0.06499999999999995,6.499999999999995,0.00627450980392158,0.627450980392158,0.02941176470588236,2.941176470588236,0.08499999999999999,8.5,0.505,50.5
count,Skywork,Idefics3,skywork_vl_reward_7b,idefics3_8b_llama3,0.76,0.815,0.05499999999999994,5.499999999999994,0.0861450107681263,8.61450107681263,0.032277791071760875,3.2277791071760875,0.050000000000000044,5.000000000000004,0.07999999999999996,7.9999999999999964
count,Skywork,Phi,skywork_vl_reward_7b,phi35_vision_instruct,0.76,0.635,0.125,12.5,0.428140703517588,42.8140703517588,0.03843459722856701,3.8434597228567013,0.45999999999999996,46.0,0.19999999999999996,19.999999999999996
count,Skywork,LLaVA,skywork_vl_reward_7b,llava_onevision_qwen2_7b,0.76,0.785,0.025000000000000022,2.500000000000002,0.2073756761951836,20.73756761951836,0.0008787104923524414,0.08787104923524414,0.24,24.0,0.07999999999999996,7.9999999999999964
count,Skywork,InternVL,skywork_vl_reward_7b,internvl3_8b_hf,0.76,0.69,0.07000000000000006,7.000000000000006,0.448140703517588,44.8140703517588,0.01005025125628145,1.005025125628145,0.445,44.5,0.015000000000000013,1.5000000000000013
count,Idefics3,Phi,idefics3_8b_llama3,phi35_vision_instruct,0.815,0.635,0.17999999999999994,17.999999999999993,0.5142857142857142,51.42857142857142,0.006156806156806138,0.6156806156806138,0.51,51.0,0.12,12.0
count,Idefics3,LLaVA,idefics3_8b_llama3,llava_onevision_qwen2_7b,0.815,0.785,0.029999999999999916,2.9999999999999916,0.2935206869633099,29.352068696330992,0.031399080579408434,3.1399080579408434,0.29000000000000004,29.000000000000004,0.0,0.0
count,Idefics3,InternVL,idefics3_8b_llama3,internvl3_8b_hf,0.815,0.69,0.125,12.5,0.5342857142857143,53.42857142857142,0.042328042328042326,4.232804232804233,0.49500000000000005,49.50000000000001,0.09499999999999997,9.499999999999996
count,Phi,LLaVA,phi35_vision_instruct,llava_onevision_qwen2_7b,0.635,0.785,0.15000000000000002,15.000000000000002,0.22076502732240438,22.07650273224044,0.03755588673621457,3.755588673621457,0.22,22.0,0.12,12.0
count,Phi,InternVL,phi35_vision_instruct,internvl3_8b_hf,0.635,0.69,0.05499999999999994,5.499999999999994,0.020000000000000018,2.0000000000000018,0.048484848484848464,4.848484848484846,0.014999999999999986,1.4999999999999987,0.21499999999999997,21.499999999999996
count,LLaVA,InternVL,llava_onevision_qwen2_7b,internvl3_8b_hf,0.785,0.69,0.09500000000000008,9.500000000000009,0.2407650273224044,24.07650273224044,0.010928961748633892,1.0928961748633892,0.20500000000000002,20.5,0.09499999999999997,9.499999999999996
presence,Qwen,Gemma,qwen3_vl_4b_instruct,gemma3_4b_it,0.895,0.75,0.14500000000000002,14.500000000000002,0.398989898989899,39.8989898989899,0.0,0.0,0.4,40.0,0.0050000000000000044,0.5000000000000004
presence,Qwen,Molmo,qwen3_vl_4b_instruct,molmo_7b_d_0924,0.895,0.795,0.09999999999999998,9.999999999999998,0.2562814070351759,25.628140703517587,0.01005025125628145,1.005025125628145,0.255,25.5,0.010000000000000009,1.0000000000000009
