factor,threshold_pp,model_a,model_b,delta_A_pp,delta_PFC,delta_PSC,delta_U8
spatial,2,qwen3_vl_4b_instruct,gemma3_4b_it,1.9147089689438124,-0.17594213885896948,0.039126395926380786,0.0945430141841469
spatial,3,qwen3_vl_4b_instruct,gemma3_4b_it,1.9147089689438124,-0.17594213885896948,0.039126395926380786,0.0945430141841469
spatial,1,qwen3_vl_4b_instruct,molmo_7b_d_0924,0.48433502381222127,0.04128537384683395,0.09446032809841187,0.02894177225197203
spatial,2,qwen3_vl_4b_instruct,molmo_7b_d_0924,0.48433502381222127,0.04128537384683395,0.09446032809841187,0.02894177225197203
spatial,3,qwen3_vl_4b_instruct,molmo_7b_d_0924,0.48433502381222127,0.04128537384683395,0.09446032809841187,0.02894177225197203
spatial,1,qwen3_vl_4b_instruct,skywork_vl_reward_7b,0.44960262387466754,0.06656756820802057,-0.06482742391608742,0.07542674674980343
spatial,2,qwen3_vl_4b_instruct,skywork_vl_reward_7b,0.44960262387466754,0.06656756820802057,-0.06482742391608742,0.07542674674980343
spatial,3,qwen3_vl_4b_instruct,skywork_vl_reward_7b,0.44960262387466754,0.06656756820802057,-0.06482742391608742,0.07542674674980343
spatial,3,qwen3_vl_4b_instruct,idefics3_8b_llama3,2.5132363871397945,-0.07677247696479195,0.11166542226780296,0.1025494829423691
spatial,2,qwen3_vl_4b_instruct,phi35_vision_instruct,1.3846054746690095,0.026748061786314947,0.013372460509383677,0.09511640452789794
spatial,3,qwen3_vl_4b_instruct,phi35_vision_instruct,1.3846054746690095,0.026748061786314947,0.013372460509383677,0.09511640452789794
spatial,2,qwen3_vl_4b_instruct,internvl3_8b_hf,1.0959480696427826,-0.16013025742862552,-0.08086943418513493,-0.0409663432977585
spatial,3,qwen3_vl_4b_instruct,internvl3_8b_hf,1.0959480696427826,-0.16013025742862552,-0.08086943418513493,-0.0409663432977585
spatial,3,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,2.215437204152859,-0.06801022479919161,0.06196860838597784,0.10130289526100744
spatial,2,gemma3_4b_it,molmo_7b_d_0924,1.430373945131591,0.21722751270580343,0.055333932172031086,-0.06560124193217487
spatial,3,gemma3_4b_it,molmo_7b_d_0924,1.430373945131591,0.21722751270580343,0.055333932172031086,-0.06560124193217487
spatial,3,gemma3_4b_it,skywork_vl_reward_7b,2.36431159281848,0.24250970706699004,-0.10395381984246821,-0.01911626743434347
spatial,1,gemma3_4b_it,phi35_vision_instruct,0.5301034942748029,0.20269020064528442,-0.02575393541699711,0.0005733903437510346
spatial,2,gemma3_4b_it,phi35_vision_instruct,0.5301034942748029,0.20269020064528442,-0.02575393541699711,0.0005733903437510346
spatial,3,gemma3_4b_it,phi35_vision_instruct,0.5301034942748029,0.20269020064528442,-0.02575393541699711,0.0005733903437510346
spatial,1,molmo_7b_d_0924,skywork_vl_reward_7b,0.9339376476868888,0.025282194361186616,-0.1592877520144993,0.0464849744978314
